BGGId,Name,YearPublished,MinPlayers,MaxPlayers,AvgRating
375,6 Billion,1999,2,5,5.34493
378,Lancashire Railways,1998,3,6,6.94087
381,X Pasch,1996,3,6,6.25
383,Turf Horse Racing,1995,3,6,6.45224
396,Der dreizehnte Holzwurm,1998,2,6,6.00664
413,Die Erben von Hoax,1999,3,8,6.04029
622,Change!,1999,2,8,5.28281
629,Q-Turn,1999,2,4,5.04055
1216,Mystery Garden,1989,2,6,5.14645
1225,Quest,1984,3,6,5.07475
1252,Pyramidis,1988,2,4,5.92607
1390,Auf Kurs,1987,2,6,5.98053
1397,Crash Pilot,1999,2,5,5.43945
1398,Chicago,1986,2,4,5.43026
1402,Neolithibum,1991,2,6,5.89545
1404,Strand-Cup,2000,4,8,6.10026
1450,Jagd der Vampire,1991,2,6,5.45302
1464,Duo,1986,2,6,5.22193
1468,Anybody's Guess,1990,2,12,5.83437
106174,Di Renjie,2012,2,6,6.00294
106631,Space Bastards,2011,2,5,5.77747
107463,Help Me!,2011,2,6,6.12703
107649,Catch a Falling Star,2011,1,5,6.18846
107829,Building an Elder God,2011,2,5,4.88983
108012,Collapsible D: The Final Minutes of the Titanic,2012,3,6,6.68517
113301,Clocks,2012,1,4,6.26832
113312,Grill Party,2012,2,5,5.48577
113567,Mediterranean Empires,2015,2,8,7.19812
113656,111: Alarm dla Warszawy,2013,2,2,6.4072
114784,Rhein: River Trade,2016,2,5,6.30355
114863,Ragami,2012,2,4,5.83763
125936,Swing States 2012,2012,1,1,6.91667
126021,Dropzone Commander,2012,2,4,7.52888
126025,Rise of the Zombies!,2013,1,8,6.50469
126168,Oh no... INVASION!!!,2012,3,5,5.81287
126340,Baldrick's Tomb,2012,1,4,6.21849
126404,Area 1851,2015,2,5,6.42358
126426,A.D. 30,2012,1,1,6.75477
128204,Ars Victor,2013,2,2,7.33053
128218,Helvetia Cup,2012,2,2,6.73425
128219,Shafausa,2012,2,6,6.03519
128352,Chaos & Alchemy,2012,2,5,6.00994
128425,Asteriated Grail,2010,4,6,7.43333
128568,(Your Name Here) and the Argonauts,2012,1,1,7.13287
128662,Northwest Passage Adventure,2012,2,4,6.14661
128855,Pyramidion,2012,2,4,5.94352
156945,The Front Nine,2014,2,4,6.93686
157083,Dragon Valley,2014,2,4,5.32052
157135,Destination: Neptune,2014,2,4,6.23425
157451,Mein erster Spieleschatz,2010,1,6,6.8206
157521,Victory in Europe,2015,2,3,6.98663
157586,Linkage: A DNA Card Game,2014,2,4,5.7964
157673,Pints of Blood,2014,2,4,5.88921
157779,Barragoon,2014,2,2,7.14111
158816,Longstreet Attacks: The Second Day at Gettysburg,2018,1,4,8.54741
158861,Athlas: Duel for Divinity,2014,2,2,6.38326
158886,Stonewall's Sword: The Battle of Cedar Mountain,2015,2,2,8.07438
158968,Maha Yodha,2014,2,2,6.21917
158971,Lighthouse Run,2018,2,4,6.5601
165090,CLUE: Firefly Edition,2014,3,6,6.40093
165283,Battleship,2014,2,2,5.15212
165302,King Down,2015,2,4,4.80172
165633,Slap .45,2015,3,7,6.37441
165748,Psycho Raiders,2014,2,7,8.00277
166726,Richard I,2014,3,8,6.85132
168421,Bohnanza: Ladies & Gangsters,2015,1,5,6.88375
168544,De Stijl,2014,2,5,5.88827
168549,Night Clan,2014,2,4,6.44288
168752,BANG!: Heroes of the Storm,2014,4,7,6.33333
168792,Secret Weapons of the Third Reich,2014,1,4,6.88778
168895,Corrupted Kingdoms,2016,2,6,5.70576
192345,Keskifé?,2016,4,16,6.2703
192346,Edenia,2016,2,4,6.27376
192352,Super-Vampire,2016,2,4,5.80395
192353,Spooky Castle,2016,2,4,5.41576
192623,Emergence: A Game of Teamwork and Deception,2016,3,6,6.11938
192663,Fleet Commander: Genesis,2016,2,4,7.81398
193295,Drunk Stoned or Stupid: A Party Game,2014,4,0,4.40612
193301,Sail Away,2016,2,4,5.84248
193327,The Golden Sails,2016,2,4,6.81903
193417,Captains of the Golden Age,2016,2,4,6.85573
193500,Statecraft: The Political Card Game,2017,2,6,5.30415
193584,The Last Garden,2017,2,4,7.12921
196392,Turin Market,2016,2,5,6.1902
196698,Gruff: Clash of the Battle Goats,2017,2,2,7.35577
209014,Front Line No Komrades,2016,2,8,5.96161
209095,Uno: Super Mario,2016,2,10,6.14543
209222,Drachenturm,2016,2,4,6.51821
209284,Hamster Clan,2016,1,4,5.60339
209511,Atlanta Is Ours,2018,1,2,8.6904
213648,South Pacific: Breaking the Bismarck Barrier 1942-1943,2016,2,2,7.84721
213788,Ascension: Year Three Collector's Edition,2016,1,6,8.05723
214123,Moa,2018,2,5,6.40252
214125,Legendary Creatures,2018,2,4,6.95302
214224,Clue: Star Wars,2016,3,6,5.3948
214296,Tenkatoitsu,2016,1,2,8.43846
214343,Fantastic Gymnastics,2016,1,99,5.39475
215436,Codex: Card-Time Strategy – Starter Set,2016,2,2,6.98294
215521,Diceborn Heroes,2019,1,4,6.5271
216123,Star Realms Special Edition,2015,2,2,7.87348
216224,Carcosa,2017,1,4,6.1549
216282,Critters Below,2017,1,6,6.40485
327077,Cartaventura: Vinland,2021,1,6,6.79696
327793,30 Monedas,2021,1,2,7.89192
329593,Settlement,2021,1,4,7.38595
329670,Pandemic: Hot Zone – Europe,2021,2,4,7.32703
340790,1923 Cotton Club,2021,2,4,7.64079
